Ticker,Description,Open,High,Low,Price,Volume,Sector,Industry,Market Capitalization,Shares Float
SLF,SUN LIFE FINANCIAL INC.,2300,2300,2300,2300,400,Finance,Multi-Line Insurance,1464732874023.4773,585657609.199
GLO,"GLOBE TELECOM, INC.",2280,2358,2272,2322,77630,Communications,Wireless Telecommunications,334508518982,38096787.389
TEL,PLDT INC.,1596,1640,1585,1634,108955,Communications,Specialty Telecommunications,353035154541,97358506.552
PRF3B,PETRON CORP PREF 3B,1003,1003,1003,1003,5000,Energy Minerals,Oil Refining/Marketing,23344007843,2516126838.4
GTPPB,"GT CAPITAL HOLDINGS, INC. NON-VOTING PERPETUAL PREFERRED SHARES SERIES B",998,998,998,998,50,Consumer Durables,Motor Vehicles,88869476815,93932290.06
PRF3A,PETRON CORP PREF 3A,995,995,995,995,250,Energy Minerals,Oil Refining/Marketing,23344007843,2516126838.4
GTPPA,"GT CAPITAL HOLDINGS, INC. NON-VOTING PERPETUAL PREFERRED SHARES SERIES A",975,975,970,970,100,Consumer Durables,Motor Vehicles,88869476815,93932290.06
JFCPA,JOLLIBEE FOODS CORP,925,925,925,925,110,Consumer Services,Restaurants,,
MFC,MANULIFE FINANCIAL CORPORATION,900,900,900,900,20,Finance,Multi-Line Insurance,1856188181171.9487,1905360710
JFCPB,JOLLIBEE FOODS CORP,899,899,898,898,360,Consumer Services,Restaurants,,
SM,SM INVESTMENTS CORPORATION,820,828,790,820,123360,Retail Trade,Department Stores,987757966309,574712913.139755
AC,AYALA CORPORATION,670,672,657,667,287840,Finance,Real Estate Development,412968425293,267606606.603
PNX4,"PHOENIX PETROLEUM PHILIPPINES, INC. NON-VOTING PERPETUAL PREFERRED SHARES SERIES 4",629,695,629,695,340,Distribution Services,Wholesale Distributors,12243181805,221256800.1
FEU,"FAR EASTERN UNIVERSITY, INC.",595.5,597,595.5,597,53540,Consumer Services,Other Consumer Services,14291354771,4015905.559545
HVN,"GOLDEN MV HOLDINGS, INC.",560,600,560,570,4670,Finance,Real Estate Development,367147040405,70145738.43600011
ACPB1,AYALA CORP CLASS B PREF,500,500,485,485,10030,Finance,Real Estate Development,412968425293,267606606.603
APB2R,AYALA CORPORATION CLASS B SERIES 2 PREFERRED SHARES,485,485,485,485,20220,Finance,Real Estate Development,412968425293,267606606.603
ALCPD,ARTHALAND CORPORATION,480,480,480,480,4000,Finance,Real Estate Development,,
GTCAP,"GT CAPITAL HOLDINGS, INC.",415,415.4,411,412.8,123710,Consumer Durables,Motor Vehicles,88869476815,93932290.06
MER,MANILA ELECTRIC COMPANY,300,301.8,297.4,301.4,76800,Utilities,Electric Utilities,339655607550,294481925.40000004
JFC,JOLLIBEE FOODS CORPORATION,232,232.4,230.6,232,355440,Consumer Services,Restaurants,258426561523,478819783.05
ICT,INT`L CONTAINER TERMINALS INC.,175.2,175.2,171,173,926620,Transportation,Other Transportation,351029100708,1265141632.16
PSE,THE PHILIPPINE STOCK EXCHANGE,165,165,160,165,170,Finance,Investment Banks/Brokers,13462735863,60430521.072
BDO,"BDO UNIBANK, INC.",126.4,127.6,125.4,127.3,3543170,Finance,Regional Banks,558423716024,1860575228.56
URC,UNIVERSAL ROBINA CORPORATION,122,122,119.1,122,696280,Consumer Non-Durables,Food: Specialty/Candy,265790730957,906789768.64
GSMI,"GINEBRA SAN MIGUEL, INC.",107,107.2,102.2,107.2,32020,Consumer Non-Durables,Beverages: Alcoholic,30694344683,69146494.032
ALCPC,ARTHALAND CORPORATION SERIES C PERPETUAL PREFERRED SHARES,104.7,104.7,104.7,104.7,10,Finance,Real Estate Development,2552685880,1680551508.6000001
TFHI,TOP FRONTIER INVESTMENT HLDGS.,104,104,104,104,300,Energy Minerals,Oil Refining/Marketing,18259918701,42263097.833736
EEIPB,EEI CORPORATION,102.8,102.8,102.5,102.5,7740,Industrial Services,Engineering & Construction,,
8990P,"8990 HOLDINGS, INC. SERIES A PERPETUAL PREFERRED SHARES",101.1,101.1,101.1,101.1,100,Consumer Durables,Homebuilding,51811341826,1668918652.8
EEIPA,EEI CORPORATION,100.9,100.9,100.8,100.8,500,Industrial Services,Engineering & Construction,,
BRNP,BROWN(A.) CO INC,100.3,102,100.3,102,700,Producer Manufacturing,Trucks/Construction/Farm Machinery,1779275940,2366291988.0600004
PTC,PHILIPPINE TRUST COMPANY,100,100,100,100,90,Finance,Regional Banks,100000000000,25503000
MWP2B,MWIDE PREFS. SERIES 2B,99.7,99.7,99.7,99.7,70,Industrial Services,Engineering & Construction,6946263872,619308808.72
CPGP,CENTURY PROPERTIES GROUP INC. PREFERRED A SHARES,99.7,99.7,99.7,99.7,80,Finance,Real Estate Development,4059860136,3379926246.8
8990B,"8990 HOLDINGS, INC. SERIES B PERPETUAL PREFERRED SHARES",98.4,98.4,98.4,98.4,200,Consumer Durables,Homebuilding,51811341826,1668918652.8
SMC,SAN MIGUEL CORPORATION,98,98,96.2,96.2,1152750,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
MWP2A,MWIDE PREFS. SERIES 2A,97.8,97.9,97.1,97.1,2100,Industrial Services,Engineering & Construction,6946263872,619308808.72
FMETF,FIRST METRO PHIL. EQUITY ETF,95,95.3,94.5,94.7,11710,Miscellaneous,Investment Trusts/Mutual Funds,,
DDPR,DOUBLEDRAGON CORPORATION,94.75,94.75,94.75,94.75,200,Finance,Real Estate Development,13202511086,686181573.33
BPI,BANK OF THE PHILIPPINE ISLANDS,94.4,96.45,94.3,96,1588500,Finance,Regional Banks,433260328125,2208946965.37
MWP4,MEGAWIDE CONSTRUCTION CORPORATION,91,98.8,91,98,80,Industrial Services,Engineering & Construction,6946263872,619308808.72
SECB,SECURITY BANK CORPORATION,86.5,88,85,86.4,642700,Finance,Regional Banks,65105760329,649334352.307
PNX3B,"PHOENIX PETROLEUM PHILIPPINES, INC. NON-VOTING PERPETUAL- SERIES 3B PREF SHARES",85.9,89.5,85.9,89.4,200,Distribution Services,Wholesale Distributors,12243181805,221256800.1
UBP,UNION BANK OF THE PHILIPPINES,78,78,75,77,196830,Finance,Regional Banks,164942215088,994701631.16
SMC2F,SMC PREFS. SERIES 2F,74.5,74.7,74.5,74.5,20360,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
SMC2I,SMC PREFS. SERIES 2I,74.45,74.45,74.45,74.45,570,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
SMC2H,SMC PREFS. SERIES 2H,74.1,74.1,74.1,74.1,9040,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
SMC2J,SAN MIGUEL CORPORATION SERIES 2 PREFERRED SHARES - SUBSERIES 2-J,72.5,72.5,72.5,72.5,50,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
SMC2K,SAN MIGUEL CORPORATION SERIES 2 PREFERRED SHARES - SUBSERIES 2-K,72,72,72,72,180,Energy Minerals,Oil Refining/Marketing,228814088347,456518398.49
SEVN,PHILIPPINE SEVEN CORPORATION,66.1,66.1,66.1,66.1,50,Retail Trade,Food Retail,49999250787,202311558.28
FPH,FIRST PHILIPPINE HOLDINGS CORP,61,61.9,60.55,60.55,5890,Utilities,Alternative Power Generation,28859275666,183415383.294
AEV,"ABOITIZ EQUITY VENTURES, INC.",57.35,57.75,56.7,56.7,489730,Utilities,Electric Utilities,319233795018,1752836984.9799998
PSB,PHILIPPINE SAVINGS BANK,56.55,56.65,56.55,56.65,20,Finance,Regional Banks,24181587703,11246454.073
RRHI,"ROBINSONS RETAIL HOLDINGS, INC",54.25,54.55,53.1,53.65,714000,Retail Trade,Food Retail,79420352759,426025568.26
TCB2C,CIRTEK HDLGS PHILIPPINES CORP,53,53,53,53,10,Electronic Technology,Semiconductors,1631154186,378644472.424
TCB2D,CIRTEK HDLGS PHILIPPINES CORP,52.55,52.55,52.55,52.55,2060,Electronic Technology,Semiconductors,1631154186,378644472.424
BMM,BOGO MEDELLIN MILLING COMPANY,52.2,52.2,52.2,52.2,20,Process Industries,Agricultural Commodities/Milling,313200005,
MBT,METROPOLITAN BANK & TRUST COM.,51.95,51.95,51.15,51.7,785540,Finance,Regional Banks,232449287268,2183245852.48526
JGS,"JG SUMMIT HOLDINGS, INC.",45.9,46,43.15,43.15,1219500,Consumer Non-Durables,Food: Major Diversified,324530445119,4079454761.8
TFC,PTFC REDEVELOPMENT CORPORATION,43.45,43.45,43.45,43.45,200,Transportation,Other Transportation,1520750027,
AUB,ASIA UNITED BANK CORPORATION,41.45,41.45,41.45,41.45,800,Finance,Regional Banks,20116121273,74963078.304
SCC,SEMIRARA MINING AND POWER CORP,37.15,37.15,34.85,34.95,8714600,Energy Minerals,Coal,148556633590,899866938.3000001
CA,CONCRETE AGGREGATES CORP A,37.1,37.1,37.1,37.1,700,Industrial Services,Engineering & Construction,1040829424,5456704.8924
FB,"SAN MIGUEL FOOD AND BEVERAGE, INC.",37,37.45,36.5,36.5,46500,Consumer Non-Durables,Beverages: Alcoholic,215686537842,663906776.22
CEBCP,"CEBU AIR, INC. CONVERTIBLE PREFERRED SHARES",36.5,36.5,35.8,35.8,200,Transportation,Airlines,22308791791,207307848.41
CEB,"CEBU AIR, INC.",36,36.25,36,36.2,28000,Transportation,Airlines,22308791791,207307848.41
SMPH,"SM PRIME HOLDINGS, INC.",32.4,32.45,31.5,31.5,13844500,Finance,Real Estate Development,909695759766,9998556624
AP,ABOITIZ POWER CORPORATION,31.7,31.8,31.5,31.65,149300,Utilities,Alternative Power Generation,232899829371,800512659.6
AREIT,"AREIT, INC.",31,31,30.95,31,191300,Finance,Real Estate Investment Trusts,46776233765,694506005.6999999
PGOLD,"PUREGOLD PRICE CLUB, INC.",30.7,30.7,29.25,30,677100,Retail Trade,Food Retail,86404123535,1002501850.36
WLCON,"WILCON DEPOT, INC.",29,29.95,28.5,29.35,1463400,Retail Trade,Home Improvement Chains,120326904518,1392404302.48
ALI,"AYALA LAND, INC.",26.4,26.4,25.5,25.5,10104800,Finance,Real Estate Development,371135541504,7232395527.5
CHIB,CHINA BANKING CORPORATION,25.65,25.95,25.65,25.95,72600,Finance,Major Banks,69838934219,1327726391.18
CNPF,"CENTURY PACIFIC FOOD, INC.",24.55,24.55,23.55,23.8,707100,Consumer Non-Durables,Food: Meat/Fish/Dairy,84305756477,1105790846.46
RCB,RIZAL COMMERCIAL BANKING CORP,21.6,22.7,21.6,22.7,400,Finance,Regional Banks,46250772172,754472731.5600001
PHN,PHINMA CORPORATION,19.9,19.9,19.9,19.9,10900,Producer Manufacturing,Building Products,5683285758,66666311.744
EMI,EMPERADOR INC.,19.7,19.7,19.34,19.58,1392800,Consumer Non-Durables,Beverages: Alcoholic,308120095167,4977580842
EAGLE,EAGLE CEMENT CORPORATION,19.14,20.9,19.14,20.75,3692200,Non-Energy Minerals,Construction Materials,103750000000,574875000
PNB,PHILIPPINE NATIONAL BANK,19.12,19.46,19.12,19.18,24600,Finance,Regional Banks,29264171105,338099261.44
SHLPH,PILIPINAS SHELL PETROLEUM CORPORATION,17.2,17.26,17,17.24,384300,Distribution Services,Wholesale Distributors,27815777878,427847178.88
LBC,"LBC EXPRESS HOLDINGS, INC.",17,17,16.02,16.02,700,Transportation,Air Freight/Couriers,22842365619,40694329.7999999
MWC,"MANILA WATER COMPANY, INC.",16.36,16.42,16.22,16.34,671800,Utilities,Water Utilities,47085988306,1074252338.88
CIC,CONCEPCION INDUSTRIAL CORP,15.98,16,15.58,16,2400,Producer Manufacturing,Industrial Machinery,6390647949,116806413.288
PBC,PHILIPPINE BANK OF COMM.,15.7,15.7,15,15,600,Finance,Regional Banks,7209677124,55298687.895
FGEN,FIRST GEN CORPORATION,15.6,15.88,15.5,15.56,43300,Utilities,Electric Utilities,54279891425,414870246.9123239
RLC,ROBINSONS LAND CORPORATION,14.8,14.9,14.74,14.84,2680100,Finance,Real Estate Development,75314913743,1880127584.67
ATI,"ASIAN TERMINALS, INC.",13.88,13.88,13.88,13.88,700,Transportation,Other Transportation,27760000229,278000000
CNVRG,"CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS, INC",12.9,13,12.32,12.32,6929800,Communications,Major Telecommunications,89524180126,1986571239.45
VVT,VIVANT CORPORATION,12.82,12.82,12.82,12.82,300,Utilities,Alternative Power Generation,13120714133,187704610.92
ACEX,"ACE ENEXOR, INC.",12.8,13,12.62,12.62,43000,Industrial Services,Contract Drilling,3154999971,58276000
MREIT,"MREIT, INC.",12.7,12.7,12.56,12.56,130100,Finance,Real Estate Investment Trusts,31803448133,949836711.833815
MONDE,MONDE NISSIN CORPORATION,12.48,12.5,11.68,11.68,4212800,Retail Trade,Food Retail,209873385796,5384650362
DELM,DEL MONTE PACIFIC LIMITED,12.3,12.38,12.3,12.38,400,Consumer Non-Durables,Food: Major Diversified,22923983101.1902,404018370.63808
SGP,SYNERGY GRID & DEV`T PHILS.,11.86,12.08,11.8,11.98,549300,Industrial Services,Engineering & Construction,63085074797,1165131662.07
APVI,"ALTUS PROPERTY VENTURES, INC.",11.54,12.4,11.54,12.4,16700,Finance,Real Estate Development,1240000000,
GMA7,"GMA NETWORK, INC. (COMMON)",10.2,10.22,10.1,10.18,323400,Consumer Services,Broadcasting,34244929513.000004,550468413.7199999
GMAP,"GMA HOLDINGS, INC. (PDR)",10,10,10,10,20100,Finance,Investment Managers,33646920000,
DMC,"DMCI HOLDINGS, INC.",9.8,9.8,9.47,9.49,9833100,Energy Minerals,Coal,126003184666,3542025397.5
CAT,CENTRAL AZUCARERA DE TARLAC,9.6,9.6,9.6,9.6,2500,Process Industries,Agricultural Commodities/Milling,2289569622,34459716.039
HOUSE,"8990 HOLDINGS, INC.",9.4,9.9,9.4,9.61,12000,Consumer Durables,Homebuilding,51811341826,1668918652.8
SPC,SPC POWER CORPORATION,9.34,9.34,9.21,9.23,14000,Utilities,Electric Utilities,13813172040,158005749
AGI,"ALLIANCE GLOBAL GROUP, INC.",9,9.06,8.91,8.98,1058600,Finance,Real Estate Development,83307297902,4044123168.38
ANS,A. SORIANO CORPORATION,8.5,8.85,8.5,8.85,7200,Producer Manufacturing,Electrical Products,10863996654,31687506.6318919
PNX,PHOENIX PETROLEUM PHILIPPINES,8.49,8.49,8.49,8.49,5000,Distribution Services,Wholesale Distributors,12243181805,221256800.1
LTG,"LT GROUP, INC.",8.09,8.2,8.07,8.07,2759400,Finance,Investment Banks/Brokers,87289065010,2772658344
BNCOM,BANK OF COMMERCE,8,8,8,8,4200,Finance,Major Banks,11224100000,744252585.1006399
ABSP,ABS-CBN HOLDINGS CORP. - PDR,8,8.58,8,8.57,313600,Consumer Services,Broadcasting,7738230000,
BCOR,"BERJAYA PHILIPPINES, INC.",7.69,7.96,7.69,7.96,8000,Retail Trade,Specialty Stores,34556595029,509835581.9199999
ABS,ABS-CBN CORPORATION,7.6,7.9,7.6,7.75,83300,Consumer Services,Broadcasting,6780414642,109698377.931675
AB,"ATOK-BIG WEDGE COMPANY, INC.",7.51,7.98,7.51,7.98,29500,Non-Energy Minerals,Precious Metals,20309100049,119370680
PBB,PHILIPPINE BUSINESS BANK,7.5,8,7.5,7.99,16300,Finance,Savings Banks,5143562840,229487862.5
PIZZA,"SHAKEY`S PIZZA ASIA VENTURES, INC.",7.26,7.26,7.26,7.26,5000,Consumer Services,Restaurants,12224098943,332367488.96
DNL,"D&L INDUSTRIES, INC.",7.24,7.86,7.15,7.86,2025900,Consumer Non-Durables,Food: Specialty/Candy,56142864128,2099850839.94
2GO,2GO GROUP' INC.,6.99,6.99,6.99,6.99,100,Transportation,Marine Shipping,17210401656,23644026.4500002
ANI,"AGRINURTURE, INCORPORATED",6.94,6.94,6.56,6.86,1918300,Distribution Services,Food Distributors,7027705867,276774632.04999995
CEU,CENTRO ESCOLAR UNIVERSITY,6.88,6.88,6.8,6.8,13800,Consumer Services,Other Consumer Services,2532417979,59412695.076
IPO,"IPEOPLE, INC.",6.85,6.85,6.85,6.85,500,Consumer Services,Other Consumer Services,7153202708,158639802.16
BLOOM,BLOOMBERRY RESORTS CORPORATION,6.73,7,6.62,7,1934300,Consumer Services,Casinos/Gaming,75828470703,3692142547.6485
DMW,"D.M. WENCESLAO & ASSOCIATES, INCORPORATED",6.59,6.59,6.5,6.59,61300,Finance,Real Estate Development,22378744368,645536006.7
MVC,MABUHAY VINYL CORPORATION,6.44,6.44,6.44,6.44,3200,Process Industries,Chemicals: Specialty,4258832491,39777736.3499999
FDC,FILINVEST DEVELOPMENT CORP.,6.4,6.4,6.4,6.4,538000,Finance,Regional Banks,55350163325,928576501.739999
IPM,"IPM HOLDINGS, INC.",6.32,6.32,6.25,6.25,3000,Transportation,Trucking,4312500000,215664330
ACEN,ACEN CORPORATION,6.2,6.25,6.11,6.25,7577300,Energy Minerals,Oil & Gas Production,247983715820,24134373711
MBC,MANILA BROADCASTING COMPANY,6.09,6.09,6.09,6.09,1000,Consumer Services,Broadcasting,2452339430,5887225.45999997
PXP,PXP ENERGY CORPORATION,6.05,6.05,5.85,5.85,131600,Energy Minerals,Integrated Oil,11465999813,1142386000
EW,EAST WEST BANKING CORPORATION,5.92,5.92,5.86,5.87,14300,Finance,Regional Banks,13207354999,444938044.96
DD,DOUBLEDRAGON CORPORATION,5.8,5.89,5.6,5.63,150800,Finance,Real Estate Development,13202511086,686181573.33
FILRT,FILINVEST REIT CORP.,5.75,6,5.7,5.7,140100,Finance,Real Estate Investment Trusts,27888832709,1795723651.6999998
PAL,"PAL HOLDINGS, INC.",5.65,5.65,5.65,5.65,1100,Miscellaneous,Miscellaneous,65602024202.99999,1197001212
PMPC,PANASONIC MANUFACTURING PHILS.,5.45,5.45,5.45,5.45,7000,Consumer Durables,Electronics/Appliances,2303813100,84633847.3662
ALHI,"ANCHOR LAND HOLDINGS, INC.",5.25,5.25,5.25,5.25,800,Finance,Real Estate Development,5460005127,215085520
PPC,PRYCE CORPORATION,5.12,5.12,5.05,5.05,3000,Finance,Real Estate Development,9573235799,1499722064.18
RCR,"RL COMMERCIAL REIT, INC.",5.1,5.17,5.04,5.04,603500,Finance,Real Estate Investment Trusts,50142944855,3342395455.32374
IMI,INTEGRATED MICRO-ELECTRONICS,5,5,5,5,64100,Electronic Technology,Electronic Production Equipment,11086466064,425074448.61
NIKL,NICKEL ASIA CORPORATION,4.8,4.9,4.79,4.83,7410000,Non-Energy Minerals,Other Metals/Minerals,65837002573.00001,10196117663.5
MAC,MACROASIA CORPORATION,4.52,4.63,4.4,4.59,276000,Commercial Services,Miscellaneous Commercial Services,8679499225,482642957.52
PERC,PETROENERGY RESOURCES CORP.,4.45,4.47,4.45,4.47,5000,Energy Minerals,Integrated Oil,2542141864,562682515.3759999
MAXS,"MAX`S GROUP, INC.",4.34,4.46,4.3,4.35,63000,Consumer Services,Restaurants,3390451629,349596344.08832395
BC,BENGUET CORPORATION A,4.15,4.15,4.15,4.15,3000,Non-Energy Minerals,Precious Metals,2580169412,151677632.088
BCB,BENGUET CORPORATION B,4.13,4.13,4.13,4.13,2000,Non-Energy Minerals,Precious Metals,2580169412,144038807.85000002
ABG,ASIABEST GROUP INTERNATIONAL,4.05,4.05,4.05,4.05,1000,Finance,Financial Conglomerates,1215000057,299985300
COSCO,"COSCO CAPITAL, INC.",3.97,3.99,3.94,3.95,1402000,Retail Trade,Food Retail,28377893922,1524439557.48
HLCM,"HOLCIM PHILIPPINES, INC.",3.88,3.88,3.87,3.87,3900000,Non-Energy Minerals,Construction Materials,24969622860,325572966.00000095
RFM,RFM CORPORATION,3.8,3.8,3.8,3.8,11000,Consumer Non-Durables,Food: Major Diversified,12804287242,1632624474.6499999
MPI,METRO PACIFIC INVESTMENTS CORP,3.7,3.7,3.61,3.66,4037000,Utilities,Water Utilities,106345505775,10780277997.6
SBS,SBS PHILIPPINES CORPORATION,3.58,3.6,3.58,3.6,6000,Distribution Services,Wholesale Distributors,5579999852,415745650
LMG,LMG CORPORATION,3.53,3.53,3.53,3.53,2000,Process Industries,Chemicals: Major Diversified,683210929,
MWIDE,MEGAWIDE CONSTRUCTION CORP.,3.51,3.67,3.43,3.45,261000,Industrial Services,Engineering & Construction,6946263872,619308808.72
STR,"VISTAMALLS, INC.",3.38,3.38,3.38,3.38,2000,Retail Trade,Department Stores,28479818249,867901217.94
AT,ATLAS CONSOLIDATED MINING,3.3,3.3,3.26,3.26,62000,Non-Energy Minerals,Other Metals/Minerals,11597621880,808357183.65
HI,"HOUSE OF INVESTMENTS, INC.",3.28,3.28,3.28,3.28,4000,Industrial Services,Engineering & Construction,2546806067,213916107.5
ALLHC,AYALALAND LOGISTICS HOLDINGS CORP.,3.27,3.27,3.22,3.22,45000,Finance,Real Estate Development,20131916575,1597241935.58426
EEI,EEI CORPORATION,3.2,3.2,3.2,3.2,25000,Industrial Services,Engineering & Construction,3316100831,458056485.6
ECP,EASYCALL COMMUNICATIONS PHILS.,3.13,3.13,3.13,3.13,2000,Commercial Services,Miscellaneous Commercial Services,469500017,22786350
COL,"COL FINANCIAL GROUP, INC.",3.13,3.13,3.13,3.13,1000,Finance,Investment Banks/Brokers,14898800545,1353682120
DFNN,"DFNN, INC.",3.05,3.05,3.04,3.04,12000,Retail Trade,Electronics/Appliance Stores,957178797,285016957.179726
